"form","count","description","example_filing_url","example_primary_doc_url"
"10-12B/A","1711","Amendment to General Form for Certification of Termination of Registration under Section 13 or 15(d) of the Securities Exchange Act of 1934.  ","https://www.sec.gov/Archives/edgar/data/2011286/000119312524207090/0001193125-24-207090-index.html","https://www.sec.gov/Archives/edgar/data/2011286/000119312524207090/d774986d1012ba.htm"
"N-MFP2/A","1630","Amendment to Monthly Schedule of Portfolio Holdings of Money Market Funds.","https://www.sec.gov/Archives/edgar/data/787441/000183989924000019/0001839899-24-000019-index.html","https://www.sec.gov/Archives/edgar/data/787441/000183989924000019/xslN-MFP2_X01/primary_doc.xml"
"424A","1623","Prospectus. Filed as part of a registration statement for a securities offering, providing details about the offering to investors.","https://www.sec.gov/Archives/edgar/data/1854480/000114036121035310/0001140361-21-035310-index.html","https://www.sec.gov/Archives/edgar/data/1854480/000114036121035310/nt10022907x6_424a.htm"
"S-2/A","1603","Amendment to a Registration Statement Filed on Form S-2.  Used to update information previously filed.","https://www.sec.gov/Archives/edgar/data/38723/000003872305000070/0000038723-05-000070-index.html","https://www.sec.gov/Archives/edgar/data/38723/000003872305000070/s2amendmentno4edgar.htm"
"N-8F/A","1563","Amendment to a registration statement filed on Form N-8F.   Used by investment companies operating as Business Development Companies (BDCs)","https://www.sec.gov/Archives/edgar/data/1551040/000119312524182028/0001193125-24-182028-index.html","https://www.sec.gov/Archives/edgar/data/1551040/000119312524182028/d744825dn8fa.htm"
"485B24E","1553","Post-effective amendment for business development companies. This type of amendment relates to changes in a BDC's registration statement.","https://www.sec.gov/Archives/edgar/data/827094/000087249697000001/0000872496-97-000001-index.html","https://www.sec.gov/Archives/edgar/data/827094/"
"CERTAMX","1545","Certification.   Confirms the authenticity and accuracy of information.","https://www.sec.gov/Archives/edgar/data/1362718/999999999708041190/9999999997-08-041190-index.html","https://www.sec.gov/Archives/edgar/data/1362718/999999999708041190/9999999997-08-041190.paper"
"NTN 10K","1505","Notice of Late Filing of Form 10-K. This is filed by companies that are unable to submit their Form 10-K (annual report) by the SEC's deadline.","https://www.sec.gov/Archives/edgar/data/1643721/000164372116000009/0001643721-16-000009-index.html","https://www.sec.gov/Archives/edgar/data/1643721/000164372116000009/nt10k.htm"
"486BPOS","1431","Post-Effective Amendment to a Registration Statement Filed on Form N-1A Relating to Certain Open-Ended Management Investment Companies.  Filed after a registration statement has been declared effective.","https://www.sec.gov/Archives/edgar/data/1649363/000139834424016118/0001398344-24-016118-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/1649363/000139834424016118/fp0089909-1_486bposixbrl.htm"
"APP NTC","1396","Application Notice.   This usually signifies the submission of a formal application to the SEC, often for regulatory approval.","https://www.sec.gov/Archives/edgar/data/1997906/999999999724003675/9999999997-24-003675-index.html","https://www.sec.gov/Archives/edgar/data/1997906/999999999724003675/filename1.pdf"
"SC 13E4/A","1342","Amendment to a Tender Offer Statement. Filed to change information in a previously submitted Schedule 13E-4, which is related to issuer tender offers.","https://www.sec.gov/Archives/edgar/data/1066026/000103221001501504/0001032210-01-501504-index.html","https://www.sec.gov/Archives/edgar/data/1066026/000103221001501504/dsc13e4a.txt"
"F-10/A","1340","Amendment to a Registration Statement Filed on Form F-10, which is used by certain Canadian issuers to register securities for offerings in the U.S.  ","https://www.sec.gov/Archives/edgar/data/915191/000110465924092893/0001104659-24-092893-index.html","https://www.sec.gov/Archives/edgar/data/915191/000110465924092893/tm2421642-5_f10a.htm"
"N-18F1","1318","Notification of Election to be Subject to Sections 55 through 65 of the Investment Company Act of 1940.  Filed by certain investment companies.","https://www.sec.gov/Archives/edgar/data/1700933/000170093324000005/0001700933-24-000005-index.html","https://www.sec.gov/Archives/edgar/data/1700933/000170093324000005/n-18f1.htm"
"F-10","1308","Registration Statement for Certain Canadian Issuers. Filed by Canadian companies that meet specific criteria to register securities offerings in the United States.","https://www.sec.gov/Archives/edgar/data/915191/000110465924090593/0001104659-24-090593-index.html","https://www.sec.gov/Archives/edgar/data/915191/000110465924090593/tm2421642-1_f10.htm"
"APP ORDR","1303","Application Order.  Refers to an order issued by the SEC in response to an application, often granting or denying a request.","https://www.sec.gov/Archives/edgar/data/1633336/999999999724003674/9999999997-24-003674-index.html","https://www.sec.gov/Archives/edgar/data/1633336/999999999724003674/filename1.pdf"
"U-6B-2","1266","Application for Exemption. Filed by unit investment trusts to request an exemption from specific regulatory requirements under the Investment Company Act.","https://www.sec.gov/Archives/edgar/data/1045513/000119312506020210/0001193125-06-020210-index.html","https://www.sec.gov/Archives/edgar/data/1045513/000119312506020210/du6b2.htm"
"S-6EL24","1255","Post-Effective Amendment to Registration Statement. This amendment is specific to Form S-6 filings, which relate to unit investment trusts.","https://www.sec.gov/Archives/edgar/data/1047506/000092838997000216/0000928389-97-000216-index.html","https://www.sec.gov/Archives/edgar/data/1047506/"
"10-C","1254","General Form for Registration of Securities Pursuant to Section 12(b) or (g) of the Securities Exchange Act of 1934.  Filed by companies registering securities under these sections of the Exchange Act.","https://www.sec.gov/Archives/edgar/data/858764/000090914397000140/0000909143-97-000140-index.html","https://www.sec.gov/Archives/edgar/data/858764/"
"13FCONP","1248","Confidential Treatment Request.  Filed by institutional investment managers.","https://www.sec.gov/Archives/edgar/data/1687444/999999999719006488/9999999997-19-006488-index.html","https://www.sec.gov/Archives/edgar/data/1687444/999999999719006488/9999999997-19-006488.paper"
"S-11","1234","Registration Statement for Real Estate Companies. This form is used by companies primarily engaged in real estate activities to register securities offerings.","https://www.sec.gov/Archives/edgar/data/1527541/000121390024057945/0001213900-24-057945-index.html","https://www.sec.gov/Archives/edgar/data/1527541/000121390024057945/ea0208762-s11_wheeler.htm"
"N-CSRS/A","1160","Amendment to certified shareholder report for smaller reporting companies.  ","https://www.sec.gov/Archives/edgar/data/353560/000174177324003780/0001741773-24-003780-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/353560/000174177324003780/ncsrsa.htm"
"40-33","1122","Certification of Reporting Issuer.   Filed by investment companies that are also considered reporting companies.","https://www.sec.gov/Archives/edgar/data/1580345/000121390024068305/0001213900-24-068305-index.html","https://www.sec.gov/Archives/edgar/data/1580345/000121390024068305/ea021126040-33_triplepoint.pdf"
"N-30D/A","1116","Amendment to an annual shareholder report. Filed to correct or update information from a previously filed N-30D.","https://www.sec.gov/Archives/edgar/data/771440/000073015019000017/0000730150-19-000017-index.html","https://www.sec.gov/Archives/edgar/data/771440/000073015019000017/2018_slic_vul.htm"
"POS AMC","1116","Post-Effective Amendment (Amendment No. 2).  ","https://www.sec.gov/Archives/edgar/data/1130310/000095012906001083/0000950129-06-001083-index.html","https://www.sec.gov/Archives/edgar/data/1130310/000095012906001083/h32786posamc.txt"
"13F-E","1091","Report of Transferred Securities. Filed by institutional investment managers who have transferred securities to another manager.","https://www.sec.gov/Archives/edgar/data/933429/000093342999000001/0000933429-99-000001-index.html","https://www.sec.gov/Archives/edgar/data/933429/"
"S-2","1047","Registration Statement.  Used by US-based companies to register their securities offerings.","https://www.sec.gov/Archives/edgar/data/823277/000095013405022326/0000950134-05-022326-index.html","https://www.sec.gov/Archives/edgar/data/823277/000095013405022326/c00227sv2.htm"
"DFRN14A","1029","Definitive Proxy Statement Furnished Pursuant to Regulation 14A. This is a definitive proxy statement that is not being filed with the SEC, but is being furnished to shareholders for informational purposes.","https://www.sec.gov/Archives/edgar/data/937556/000110465924086030/0001104659-24-086030-index.html","https://www.sec.gov/Archives/edgar/data/937556/000110465924086030/tm2420840d1_dfrn14a.htm"
"DSTRBRPT","1019","Distribution Report. This typically refers to reports related to the distribution of securities, often associated with dividends or stock splits.","https://www.sec.gov/Archives/edgar/data/311669/000114036124039147/0001140361-24-039147-index.html","https://www.sec.gov/Archives/edgar/data/311669/000114036124039147/ef20035125_dstrbrpt.htm"
"N-Q/A","1019","Amendment to Quarterly Report for Investment Companies. Used to make changes or correct errors in a previously filed Form N-Q.","https://www.sec.gov/Archives/edgar/data/1415726/000089418920004888/0000894189-20-004888-index.html","https://www.sec.gov/Archives/edgar/data/1415726/000089418920004888/innovator_n-qa.htm"
"11-K/A","1017","Amendment to Annual Report of Employee Stock Purchase, Savings and Similar Plans.  Used for correcting previously filed information.","https://www.sec.gov/Archives/edgar/data/21344/000002134424000031/0000021344-24-000031-index.html","https://www.sec.gov/Archives/edgar/data/21344/000002134424000031/a20221231criamendthrifplan.htm"
"FOCUSN/A","1006","Amendment to Report of Temporary Withdrawal of Registration Statement. This indicates an amendment to a Form FOCUSN, which is filed when a company temporarily withdraws a registration statement.","https://www.sec.gov/Archives/edgar/data/25142/999999999724000329/9999999997-24-000329-index.html","https://www.sec.gov/Archives/edgar/data/25142/999999999724000329/9999999997-24-000329.paper"
"N-VP/A","1000","Amendment to a voting instruction form.  Filed by investment companies.","https://www.sec.gov/Archives/edgar/data/73981/000139834424013797/0001398344-24-013797-index.html","https://www.sec.gov/Archives/edgar/data/73981/000139834424013797/fp0089522-1_nvpa.htm"
"C-W","961","Withdrawal of Certification and Updating Statement. Filed by a Canadian company to withdraw a previously submitted certification.","https://www.sec.gov/Archives/edgar/data/1998817/000199881724000004/0001998817-24-000004-index.html","https://www.sec.gov/Archives/edgar/data/1998817/000199881724000004/primary_doc.xml"
"U-3A-2","960","Annual Report to be Filed by Trust Indenture Trustee.  Filed by a trustee for a trust indenture, which is a legal agreement related to bonds.","https://www.sec.gov/Archives/edgar/data/1340324/000095017205003182/0000950172-05-003182-index.html","https://www.sec.gov/Archives/edgar/data/1340324/000095017205003182/was5284.txt"
"S-3D","955","Registration statement for dividend reinvestment plans. This type of registration statement is specifically for securities offered through a dividend reinvestment plan (DRIP).","https://www.sec.gov/Archives/edgar/data/712770/000114036124029652/0001140361-24-029652-index.html","https://www.sec.gov/Archives/edgar/data/712770/000114036124029652/ny20030674x1_s3d.htm"
"MA","929","Merger Agreement. This document outlines the terms and conditions of a merger between two or more companies.","https://www.sec.gov/Archives/edgar/data/2026816/000104216724000050/0001042167-24-000050-index.html","https://www.sec.gov/Archives/edgar/data/2026816/000104216724000050/xslFormMA_X01/primary_doc.xml"
"N-23C-1","920","Notification filed by a national securities association relating to a proposed rule change, typically under Section 19(b) of the Securities Exchange Act.   ","https://www.sec.gov/Archives/edgar/data/1000209/000119312505017405/0001193125-05-017405-index.html","https://www.sec.gov/Archives/edgar/data/1000209/000119312505017405/dn23c1.htm"
